Content type,ID,Name,Aka,Social identifiers,Authors (IDs),Authors (names),Discipline,Base texts (IDs),Base texts (names),Highest Year,Lowest Year
Work,113541,Śrī Caṇḍamahāroṣaṇa maṇḍala darśana vidhi & Maṇḍala darśana kathā of Caṇḍamahāroṣaṇa,Maṇḍalakathā of Acalābhiṣeka,,,,Buddhism (general),,,,
Person,116079,Śrī Devasiṃha,,,,,,,,,
Person,115760,Śrī Dhyānacandra,Jñānacandra \ Madhyamakaruc or monk Karuci,Jaina monk,,,,,,,
Work,111139,Śrī Guru Stava,,,,,Tantra,,,,
Person,116307,Śrī Haraṣabhadra,,,,,,,,,
Person,115955,Śrī Indramuni,,,,,,,,,
Person,116214,Śrī Jamaleśvara,,,,,,,,,
Person,116120,Śrĩ Jayadharmadeva,,,,,,,,,
Person,116080,Śrī Jñānasṃha,,,,,,,,,
Person,87787,Śrī Kṛṣṇa Caitanya,,"Śrī, Kṛṣṇa",,,,,,,
Person,111374,Śrī Kr̥śṇa Miśra,,,,,,,,,
Person,87788,Śrī Kṛṣṇarāja,,Śrī,,,,,,,
Person,116116,Śrī Kūlavarjana,,Vajrācārya,,,,,,,
Person,116036,Śrī Lakṣanarasiṁha,,,,,,,,,
Person,87789,Śrī Lakṣmi,Śrī Lakṣmi (from Kashmir),Śrī,,,,,,,
Person,115365,Śrī Prabhā,Prabhāvatī,,,,,,,,
Person,116213,Śrī Rājādhirāja,,,,,,,,,
Work,115685,Śri Rudrayāmala Tantra,,,,,Buddhism (general),,,,
Person,115331,Śrī samyak-sṃbuddha-bhaṭṭāraka,,,,,,,,,
Work,115336,Śrī samyak-sṃbuddha-bhaṭṭārakasya-Daśabalāstavastotra,,,,,Buddhism (general),,,,
Person,98048,Śrī Tulāgurajī,Tulāgurajī,,,,,,,,
Work,88544,Śrī Vidyā Sūtras,,,85189,Gauḍapāda,,,,,
Person,115658,Śrī Viśvabhadra,,Vajrācārya,,,,,,,
Work,115468,Śrī-Āryyabhaṭṭārikāyāḥ-nāmāṣṭottaraśataka,,,,,Buddhism (general),,,,
Work,94274,Śrībālabodhinīgītārthacandrikā,,,86819,Gayāprasāda,,,,,
Work,89485,Śrībhāṣya,,,85420,Rāmānuja,Viśiṣṭādvaita Vedānta,88037,Brahmasūtra,,
Work,103411,Śrībhāṣyacarcāgrantha,,,,,Vedānta (general),,,,
Work,94350,Śrībhāṣyadūṣaṇa vs. Rāmānuja,,,86851,Svāmi Śāstrin,Advaita Vedānta,,,,
Person,40906,Śrībhāṣyaśrīnivāsāryasuta,,,,,,,,,
Person,87782,Śrībhūpendranātha Sānyāla,,,,,,,,,
Work,115783,Śrībhūtaḍāmaramukhākhyāna,,,,,Buddhism (general),,,,
Work,115413,Śrībodhisatvacaryāprasthāne-daśabhūmīśvara-nāma-mahāyānasūtra-ratnarāja,,,,,Buddhism (general),,,,
Person,115333,Śrībuddhabhaṭṭāraka,,,,,,,,,
Work,115341,Śrībuddhabhaṭṭārakasya-Yaśodharāstotra,,,,,Buddhism (general),,,,
Work,90755,Śrīcaitanyamañjūṣā,,,85824,Śrinātha Cakravarti,,,,,
Work,113520,Śrī-Cakrasaṁvara-Maṇḍala-Darśana-Vyākhyā,Śrī-saṁvarāgama-mahātantra-rāja-maṇḍala-paṭala,,,,Buddhism (general),,,,
