Collection,Text Name,Alternative Text Names,Author Name,Alternative Author Names,File Size (kb),Link 1 (main),Link 2 (underlying),Link 3 (extract),Work ID,Author ID
GRETIL,Ratnamālāvadāna,,,,1151.2,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/ratnml_u.htm,,,113629,—
GRETIL,Dvāviṃśatyavadānakathā,,,,245.9,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/dvavims_tu.htm,,,113712,—
GRETIL,Srngaratilaka,,Rudrabhaṭṭa,,60,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/srngt_pu.htm,,,113811,109551
GRETIL,Sarvatathāgatatattvasaṅgraha,Sarvatathāgatatattvasaṃgraha,,,424.4,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/sarvttsu.htm,,,113971,—
GRETIL,Kathāsaritsāgara,,Somadeva,,2862.3,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/4_narr/sokss_pu.htm,,,114001,113998
GRETIL,Kathāsaritsāgara,,Somadeva,,314.2,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/4_narr/soksvppu.htm,,,114001,113998
GRETIL,Uḍḍāmareśvaratantra,,,,94.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/saiva/uddamt_u.htm,,,114088,—
GRETIL,Śāṅkhāyana-Śrautasūtra,,,,418.4,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/5_vedang/1_srauta/sankhssu.htm,,,114114,—
GRETIL,Svacchandatantra,Svacchandabhairavatantra,,,467.6,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/saiva/svact_pu.htm,,,114145,—
GRETIL,Candrāloka,,Jayadeva Pīyuṣavarṣa,,38.6,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/1_alam/jaycndpu.htm,,,114173,114172
GRETIL,Āryāsaptaśatī,,Govardhana,,105.1,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/govass_u.htm,,,...,...
GRETIL,Āpattideśanāvidhi,,Atīśa,"Dīpaṃkara Śrījñāna, Dīpaṃkaraśrījñāna",1.4,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa041_u.htm,,,...,...
GRETIL,Ṛtusaṃhāra,,Kālidāsa,,29.1,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/kalrs_pu.htm,,,...,...
GRETIL,Vallālacarita,,Ānandabhaṭṭa,,129.7,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/anvallcu.htm,,,...,...
GRETIL,Bṛhatkathāślokasaṃgraha,,Buddhasvāmin,,555.6,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/4_narr/brkas_pu.htm,,,...,...
GRETIL,Brāhmasphuṭasiddhānta,,Brahmagupta,,36.1,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/8_jyot/brsphutu.htm,,,...,...
GRETIL,Dūtavākya,,Bhāsa,,21.3,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/3_drama/bhasdutu.htm,,,...,97249
GRETIL,Haribhaktivilāsa 1–11,,Gopāla Bhaṭṭa,,678.7,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/vaisn/hbhvil_u.htm,,,...,...
GRETIL,Jātakamālā,,Āryaśūra,,173.2,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/ajm_u.htm,,,...,85195
GRETIL,Jātakamālā,,Āryaśūra,,415.7,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/3_phil/buddh/bsa032_u.htm,,,...,85195
GRETIL,Jātakamālā,,Gopadatta,,259.2,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/gopjatmu.htm,,,...,...
GRETIL,Jātakamālā,,Haribhaṭṭa,,267.2,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/hjatm_pu.htm,,,...,...
GRETIL,Jātakastava,,Jñānayaśas,,5.4,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/4_rellit/buddh/jatkstpu.htm,,,...,...
GRETIL,Darpadalana,,Kṣemendra,,83.4,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/5_subhas/ksdarppu.htm,,,...,85469
GRETIL,Kauśikapaddhati,,Keśava,,832.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/1_veda/5_vedang/2_grhya/keskaupu.htm,,,...,...
GRETIL,Śyāmalādaṇḍaka,,Kālidāsa,,5.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/ksyadndu.htm,,,...,—
GRETIL,Pañcasāyaka,,Jyotirīśvara Kaviśekhara,,60.1,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/6_sastra/6_kama/jyopancu.htm,,,...,...
GRETIL,Caurapañcāśikā,,Bilhaṇa,,9.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/bicauppu.htm,,,...,40617
GRETIL,Prāṇābharaṇa,,Jagannātha Paṇḍitarāja,"Paṇḍitarāja Jagannātha, Jagannātha Paṇḍita",21.8,http://gretil.sub.uni-goettingen.de/gretil/1_sanskr/5_poetry/2_kavya/jagpranu.htm,,,...,40709
